grid_id,cell_code,observation_date,observation_period,latitude,longitude,nighttime_radiance_mean,nighttime_radiance_median,nighttime_radiance_max,nighttime_radiance_min,nighttime_radiance_std,units,valid_pixel_count,native_spatial_resolution,spatial_resolution,source_dataset,source_product,provenance_type
16,CHE_G016,2021-04-01,2021-04-01/2021-04-30,13.075,80.325,6.4981,3.82,50.58,1.92,8.4105,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20210401-20210430_global_ecm-slcorr_v10_ops,CALCULATED
1,CHE_G001,2022-04-01,2022-04-01/2022-04-30,12.925,80.175,19.7502,19.885,36.93,8.29,4.9364,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20220401-20220430_global_ecm-slcorr_v10_ops,CALCULATED
2,CHE_G002,2022-04-01,2022-04-01/2022-04-30,12.925,80.225,23.6797,23.39,48.38,9.07,8.5501,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20220401-20220430_global_ecm-slcorr_v10_ops,CALCULATED
3,CHE_G003,2022-04-01,2022-04-01/2022-04-30,12.925,80.275,7.6389,3.98,27.42,2.13,7.1101,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20220401-20220430_global_ecm-slcorr_v10_ops,CALCULATED
4,CHE_G004,2022-04-01,2022-04-01/2022-04-30,12.925,80.325,1.6828,1.62,2.62,1.16,0.3399,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20220401-20220430_global_ecm-slcorr_v10_ops,CALCULATED
5,CHE_G005,2022-04-01,2022-04-01/2022-04-30,12.975,80.175,30.2965,28.1,96.08,13.77,13.1573,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20220401-20220430_global_ecm-slcorr_v10_ops,CALCULATED
6,CHE_G006,2022-04-01,2022-04-01/2022-04-30,12.975,80.225,26.2096,26.695,53.72,10.97,7.8585,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20220401-20220430_global_ecm-slcorr_v10_ops,CALCULATED
7,CHE_G007,2022-04-01,2022-04-01/2022-04-30,12.975,80.275,16.0392,8.01,68.01,2.89,14.7128,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20220401-20220430_global_ecm-slcorr_v10_ops,CALCULATED
8,CHE_G008,2022-04-01,2022-04-01/2022-04-30,12.975,80.325,2.1372,2.055,3.34,1.44,0.47,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20220401-20220430_global_ecm-slcorr_v10_ops,CALCULATED
9,CHE_G009,2022-04-01,2022-04-01/2022-04-30,13.025,80.175,35.5339,31.74,89.75,17.0,12.7315,nW/cm2/sr,144,15 arc-seconds (~500m),0.05 deg analytical grid,VIIRS DNB Monthly Cloud-Free Composite v10_ops (NOAA/EOG/World Bank),DNB_npp_20220401-20220430_global_ecm-slcorr_v10_ops,CALCULATED
