date,acquisition_timestamp,latitude,longitude,temperature_2m_c,precipitation_mm_day,unit_temperature,unit_precipitation,source_name,source_url,provenance_type
2021-01-21,2021-01-21T00:00:00Z,13.0827,80.2707,25.46,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-01-22,2021-01-22T00:00:00Z,13.0827,80.2707,25.33,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-01-23,2021-01-23T00:00:00Z,13.0827,80.2707,24.61,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-01-24,2021-01-24T00:00:00Z,13.0827,80.2707,24.41,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-01-25,2021-01-25T00:00:00Z,13.0827,80.2707,24.55,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-01-26,2021-01-26T00:00:00Z,13.0827,80.2707,24.14,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-01-27,2021-01-27T00:00:00Z,13.0827,80.2707,24.1,0.02,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-01-28,2021-01-28T00:00:00Z,13.0827,80.2707,24.31,0.03,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-01-29,2021-01-29T00:00:00Z,13.0827,80.2707,24.56,0.09,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
2021-01-30,2021-01-30T00:00:00Z,13.0827,80.2707,24.49,0.0,C,mm/day,NASA POWER (MERRA-2),"https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M,PRECTOTCORR&community=RE&longitude=80.2707&latitude=13.0827&start=20210101&end=20241231&format=JSON",OBSERVED
